2019-09-11 19:14:38 INFO: Using 1 GPUs.

2019-09-11 19:19:51 INFO: Epoch[6] Iteration[5/46] Loss: 7.5908
2019-09-11 19:19:53 INFO: Epoch[6] Iteration[9/46] Loss: 7.5782
2019-09-11 19:19:54 INFO: Epoch[6] Iteration[13/46] Loss: 7.5656
2019-09-11 19:19:55 INFO: Epoch[6] Iteration[17/46] Loss: 7.5529
2019-09-11 19:19:57 INFO: Epoch[6] Iteration[21/46] Loss: 7.5424
2019-09-11 19:19:58 INFO: Epoch[6] Iteration[25/46] Loss: 7.5299
2019-09-11 19:19:59 INFO: Epoch[6] Iteration[29/46] Loss: 7.5188
2019-09-11 19:20:00 INFO: Epoch[6] Iteration[33/46] Loss: 7.5082
2019-09-11 19:20:02 INFO: Epoch[6] Iteration[37/46] Loss: 7.4981
2019-09-11 19:20:03 INFO: Epoch[6] Iteration[41/46] Loss: 7.4882
2019-09-11 19:20:04 INFO: Epoch[6] Iteration[45/46] Loss: 7.4787
2019-09-11 19:20:40 INFO: Epoch[7] Iteration[1/46] Loss: 7.4736
2019-09-11 19:20:41 INFO: Epoch[7] Iteration[5/46] Loss: 7.4615
2019-09-11 19:20:42 INFO: Epoch[7] Iteration[9/46] Loss: 7.4496
2019-09-11 19:20:44 INFO: Epoch[7] Iteration[13/46] Loss: 7.4391
2019-09-11 19:20:45 INFO: Epoch[7] Iteration[17/46] Loss: 7.4287
2019-09-11 19:20:46 INFO: Epoch[7] Iteration[21/46] Loss: 7.4183
2019-09-11 19:20:48 INFO: Epoch[7] Iteration[25/46] Loss: 7.4096
2019-09-11 19:20:49 INFO: Epoch[7] Iteration[29/46] Loss: 7.4005
2019-09-11 19:20:50 INFO: Epoch[7] Iteration[33/46] Loss: 7.3912
2019-09-11 19:20:51 INFO: Epoch[7] Iteration[37/46] Loss: 7.3823
2019-09-11 19:20:53 INFO: Epoch[7] Iteration[41/46] Loss: 7.3730
2019-09-11 19:20:54 INFO: Epoch[7] Iteration[45/46] Loss: 7.3652
2019-09-11 19:21:30 INFO: Epoch[8] Iteration[1/46] Loss: 7.3598
2019-09-11 19:21:31 INFO: Epoch[8] Iteration[5/46] Loss: 7.3501
2019-09-11 19:21:32 INFO: Epoch[8] Iteration[9/46] Loss: 7.3403
2019-09-11 19:21:33 INFO: Epoch[8] Iteration[13/46] Loss: 7.3313
2019-09-11 19:21:35 INFO: Epoch[8] Iteration[17/46] Loss: 7.3215
2019-09-11 19:21:36 INFO: Epoch[8] Iteration[21/46] Loss: 7.3137
2019-09-11 19:21:37 INFO: Epoch[8] Iteration[25/46] Loss: 7.3054
2019-09-11 19:21:39 INFO: Epoch[8] Iteration[29/46] Loss: 7.2960
2019-09-11 19:21:40 INFO: Epoch[8] Iteration[33/46] Loss: 7.2877
2019-09-11 19:21:41 INFO: Epoch[8] Iteration[37/46] Loss: 7.2801
2019-09-11 19:21:42 INFO: Epoch[8] Iteration[41/46] Loss: 7.2721
2019-09-11 19:21:44 INFO: Epoch[8] Iteration[45/46] Loss: 7.2642
2019-09-11 19:22:20 INFO: Epoch[9] Iteration[1/46] Loss: 7.2594
2019-09-11 19:22:21 INFO: Epoch[9] Iteration[5/46] Loss: 7.2507
2019-09-11 19:22:22 INFO: Epoch[9] Iteration[9/46] Loss: 7.2435
2019-09-11 19:22:23 INFO: Epoch[9] Iteration[13/46] Loss: 7.2347
2019-09-11 19:22:25 INFO: Epoch[9] Iteration[17/46] Loss: 7.2262
2019-09-11 19:22:26 INFO: Epoch[9] Iteration[21/46] Loss: 7.2184
2019-09-11 19:22:27 INFO: Epoch[9] Iteration[25/46] Loss: 7.2092
2019-09-11 19:22:28 INFO: Epoch[9] Iteration[29/46] Loss: 7.2014
2019-09-11 19:22:30 INFO: Epoch[9] Iteration[33/46] Loss: 7.1936
2019-09-11 19:22:31 INFO: Epoch[9] Iteration[37/46] Loss: 7.1861
2019-09-11 19:22:32 INFO: Epoch[9] Iteration[41/46] Loss: 7.1790
2019-09-11 19:22:34 INFO: Epoch[9] Iteration[45/46] Loss: 7.1718
2019-09-11 19:23:09 INFO: Epoch[10] Iteration[1/46] Loss: 7.1672
2019-09-11 19:23:11 INFO: Epoch[10] Iteration[5/46] Loss: 7.1591
2019-09-11 19:23:12 INFO: Epoch[10] Iteration[9/46] Loss: 7.1507
2019-09-11 19:23:13 INFO: Epoch[10] Iteration[13/46] Loss: 7.1429
2019-09-11 19:23:14 INFO: Epoch[10] Iteration[17/46] Loss: 7.1353
2019-09-11 19:23:16 INFO: Epoch[10] Iteration[21/46] Loss: 7.1275
2019-09-11 19:23:17 INFO: Epoch[10] Iteration[25/46] Loss: 7.1201
2019-09-11 19:23:18 INFO: Epoch[10] Iteration[29/46] Loss: 7.1123
2019-09-11 19:23:20 INFO: Epoch[10] Iteration[33/46] Loss: 7.1058
2019-09-11 19:23:21 INFO: Epoch[10] Iteration[37/46] Loss: 7.0986
2019-09-11 19:23:22 INFO: Epoch[10] Iteration[41/46] Loss: 7.0909
2019-09-11 19:23:23 INFO: Epoch[10] Iteration[45/46] Loss: 7.0839
2019-09-11 19:23:59 INFO: Epoch[11] Iteration[1/46] Loss: 7.0803
2019-09-11 19:24:00 INFO: Epoch[11] Iteration[5/46] Loss: 7.0720
2019-09-11 19:24:02 INFO: Epoch[11] Iteration[9/46] Loss: 7.0647
2019-09-11 19:24:03 INFO: Epoch[11] Iteration[13/46] Loss: 7.0578
2019-09-11 19:24:04 INFO: Epoch[11] Iteration[17/46] Loss: 7.0503
2019-09-11 19:24:06 INFO: Epoch[11] Iteration[21/46] Loss: 7.0432
2019-09-11 19:24:07 INFO: Epoch[11] Iteration[25/46] Loss: 7.0364
2019-09-11 19:24:08 INFO: Epoch[11] Iteration[29/46] Loss: 7.0300
2019-09-11 19:24:09 INFO: Epoch[11] Iteration[33/46] Loss: 7.0229
2019-09-11 19:24:11 INFO: Epoch[11] Iteration[37/46] Loss: 7.0161
2019-09-11 19:24:12 INFO: Epoch[11] Iteration[41/46] Loss: 7.0099
2019-09-11 19:24:13 INFO: Epoch[11] Iteration[45/46] Loss: 7.0037
2019-09-11 19:24:49 INFO: Epoch[12] Iteration[1/46] Loss: 7.0004
2019-09-11 19:24:50 INFO: Epoch[12] Iteration[5/46] Loss: 6.9935
2019-09-11 19:24:52 INFO: Epoch[12] Iteration[9/46] Loss: 6.9867
2019-09-11 19:24:53 INFO: Epoch[12] Iteration[13/46] Loss: 6.9806
2019-09-11 19:24:54 INFO: Epoch[12] Iteration[17/46] Loss: 6.9745
2019-09-11 19:24:56 INFO: Epoch[12] Iteration[21/46] Loss: 6.9683
2019-09-11 19:24:57 INFO: Epoch[12] Iteration[25/46] Loss: 6.9620
2019-09-11 19:24:58 INFO: Epoch[12] Iteration[29/46] Loss: 6.9566
2019-09-11 19:24:59 INFO: Epoch[12] Iteration[33/46] Loss: 6.9498
2019-09-11 19:25:01 INFO: Epoch[12] Iteration[37/46] Loss: 6.9441
2019-09-11 19:25:02 INFO: Epoch[12] Iteration[41/46] Loss: 6.9376
2019-09-11 19:25:03 INFO: Epoch[12] Iteration[45/46] Loss: 6.9321
2019-09-11 19:25:39 INFO: Epoch[13] Iteration[1/46] Loss: 6.9297
2019-09-11 19:25:40 INFO: Epoch[13] Iteration[5/46] Loss: 6.9236
2019-09-11 19:25:42 INFO: Epoch[13] Iteration[9/46] Loss: 6.9168
2019-09-11 19:25:43 INFO: Epoch[13] Iteration[13/46] Loss: 6.9110
2019-09-11 19:25:44 INFO: Epoch[13] Iteration[17/46] Loss: 6.9055
2019-09-11 19:25:45 INFO: Epoch[13] Iteration[21/46] Loss: 6.8996
2019-09-11 19:25:47 INFO: Epoch[13] Iteration[25/46] Loss: 6.8938
2019-09-11 19:25:48 INFO: Epoch[13] Iteration[29/46] Loss: 6.8880
2019-09-11 19:25:49 INFO: Epoch[13] Iteration[33/46] Loss: 6.8821
2019-09-11 19:25:51 INFO: Epoch[13] Iteration[37/46] Loss: 6.8766
2019-09-11 19:25:52 INFO: Epoch[13] Iteration[41/46] Loss: 6.8722
2019-09-11 19:25:53 INFO: Epoch[13] Iteration[45/46] Loss: 6.8673
2019-09-11 19:26:29 INFO: Epoch[14] Iteration[1/46] Loss: 6.8644
2019-09-11 19:26:30 INFO: Epoch[14] Iteration[5/46] Loss: 6.8585
2019-09-11 19:26:32 INFO: Epoch[14] Iteration[9/46] Loss: 6.8535
2019-09-11 19:26:33 INFO: Epoch[14] Iteration[13/46] Loss: 6.8477
2019-09-11 19:26:34 INFO: Epoch[14] Iteration[17/46] Loss: 6.8426
2019-09-11 19:26:36 INFO: Epoch[14] Iteration[21/46] Loss: 6.8377
2019-09-11 19:26:37 INFO: Epoch[14] Iteration[25/46] Loss: 6.8322
2019-09-11 19:26:38 INFO: Epoch[14] Iteration[29/46] Loss: 6.8273
